ID,Name,Password,Category,Pref1,Pref2,Pref3,Pref4,Department,Marks,JEE_Rank,Allocated
71935,Abhishek Vikas Ghosh,UnfXB3wZg,GEN,TT,IT,APM,CSE,TT,96,172,1
61026,Priya Rahul Sharma,jtYRq1CzU,OBC,CSE,APM,TT,IT,CSE,72,264,1
32603,Sneha Ananya Singh,tVpGd15HT,SC,IT,TT,APM,CSE,IT,20,1229,1
56867,Rahul Saha,mZyUkOhdQ,OBC,CSE,IT,APM,TT,CSE,98,1386,1
56095,Sandeep Riya Gupta,g37sBrOz5,GEN,CSE,IT,TT,APM,CSE,5,2023,1
29205,Kunal Arjun Singh,ia6FaHskO,GEN,CSE,IT,TT,APM,CSE,94,2327,1
33652,Sneha Amit Chatterjee,avUsQz82K,SC,APM,TT,CSE,IT,APM,23,2359,1
77022,Ishita Mandal,bRrg3XRCN,ST,TT,APM,IT,CSE,TT,0,3232,1
50254,Pooja Kumar,8YzZfiLPI,ST,APM,IT,TT,CSE,APM,0,3455,1
51871,Arjun Sandeep Dutta,LlbPt6XFN,ST,APM,CSE,IT,TT,APM,13,3533,1
12349,Shreya Das,JeSbBgM4M,ST,TT,APM,IT,CSE,TT,93,3682,1
90033,Ruhan Khanna,69696969,GEN,CSE,IT,APM,TT,CSE,89,4084,1
61689,Amit Ishita Mehta,SkUVDon9j,ST,APM,TT,IT,CSE,APM,35,4614,1
85113,Arjun Roy,9tRcKhJ6J,ST,APM,IT,CSE,TT,APM,5,4831,1
71251,Ananya Shreya Verma,23E6MS2tN,ST,TT,IT,CSE,APM,TT,50,5085,1
83887,Shreya Verma,dAimu8MFZ,ST,CSE,TT,IT,APM,CSE,67,5204,1
13779,Amit Chatterjee,SWIe7eor4,SC,TT,IT,APM,CSE,TT,26,5234,1
17207,Pranav Anirban Roy,F5lY7QFgd,SC,TT,IT,APM,CSE,TT,97,5451,1
19649,Aishwarya Dutta,WL1lIeAKc,GEN,CSE,IT,APM,TT,CSE,31,5607,1
30022,Pranav Saha,3RtP40lDM,GEN,APM,TT,CSE,IT,APM,35,6434,1
72970,Sneha Reddy,5jiowHZmG,GEN,TT,APM,IT,CSE,TT,86,6565,1
